Pressure,Temperature,Mixing Ratio,Wet-bulb Potential Temperature,West-East wind speed component,station,Trop
P (mb),T (°C),r (g kg-1),Θw (°C),u (knots),loc,mb
1000,-4.1,2.2,-5,5,thorshavn,370
850,-14.2,1.2,-5.5,8,thorshavn,370
700,-25.8,0.5,-5.5,13,thorshavn,370
500,-41.3,0.15,0,24,thorshavn,370
400,-47.9,0.1,4.4,27,thorshavn,370
300,-52.8,-,13,32,thorshavn,370
200,-50.8,-,23.2,31,thorshavn,370
1000,-1.1,2.5,-1.9,8,stornoway,430
850,-10.8,1.5,-2.3,12,stornoway,430
700,-22.3,0.5,-2.3,16,stornoway,430
500,-39.4,0.15,1.2,25,stornoway,430
400,-48.9,0.08,4.1,34,stornoway,430
300,-48,-,14,48,stornoway,430
200,-49,-,24.5,40,stornoway,430
1000,0,3,-1,7,Leuchars,410
850,-8.8,1.7,-1.2,12,Leuchars,410
700,-21.1,0.2,-1.2,21,Leuchars,410
500,-37.2,0.15,1.5,30,Leuchars,410
400,-45.7,0.09,5.3,50,Leuchars,410
350,-48,-,9,55,Leuchars,410
300,-50,-,14,62,Leuchars,410
200,-48.1,-,24.1,54,Leuchars,410
1000,2.2,3.5,0,0,Liverpool,295
850,-8.2,1.4,-0.5,7,Liverpool,295
700,-16.8,0.5,2,21,Liverpool,295
600,-20,0.35,6.1,40,Liverpool,295
500,-27.2,0.23,8,53,Liverpool,295
400,-37.8,0.1,10.2,67,Liverpool,295
300,-47.7,-,12.1,82,Liverpool,295
200,-46.8,-,23,64,Liverpool,295
1000,3,4,1.5,-4,Crawley,280
850,-3.9,2.5,3,3,Crawley,280
700,-8.2,2,8,33,Crawley,280
500,-23.2,0.7,10.5,56,Crawley,280
400,-36.1,0.3,12,64,Crawley,280
300,-50.7,0.09,13.5,70,Crawley,280
270,-56.2,-,15,75,Crawley,280
200,-52,-,23.8,71,Crawley,280
1000,11.8,8.5,12.1,25,Trappes,270
850,4.9,6.2,12.1,32,Trappes,270
700,-2.1,3.5,12.2,39,Trappes,270
500,-18.8,0.9,13,48,Trappes,270
400,-32.3,0.4,14.2,60,Trappes,270
300,-50.3,0.09,15.3,85,Trappes,270
270,-56,-,16,94,Trappes,270
200,-52.9,-,22.6,85,Trappes,270
1000,13.1,8,12.6,25,Nimes,200
850,5.8,5.5,12.6,27,Nimes,200
700,-2.1,3,13,30,Nimes,200
500,-16.8,0.9,14,37,Nimes,200
400,-27,0.4,16.1,40,Nimes,200
300,-42.3,0.15,18,49,Nimes,200
200,-57.4,-,20.8,64,Nimes,200
